book,filename,url,http_status,bytes,reason
deuteronomy,Intro_Deuteronomy.pdf,https://www.ship-ubf.org/biblestudy/books/deuteronomy/Intro_Deuteronomy.pdf,200,98238,filename did not match pattern
samuel1,1SA_intro.pdf,https://www.ship-ubf.org/biblestudy/books/samuel1/1SA_intro.pdf,200,45587,filename did not match pattern
samuel2,Introduction_2Samuel.pdf,https://www.ship-ubf.org/biblestudy/books/samuel2/Introduction_2Samuel.pdf,200,52556,filename did not match pattern
micah,Micah_introduction.pdf,https://www.ship-ubf.org/biblestudy/books/micah/Micah_introduction.pdf,200,256158,filename did not match pattern
matthew,MT21DQ.DOC,https://www.ship-ubf.org/biblestudy/books/matthew/MT21DQ.DOC,200,29184,filename did not match pattern
matthew,MT21EQ.DOC,https://www.ship-ubf.org/biblestudy/books/matthew/MT21EQ.DOC,200,29696,filename did not match pattern
matthew,MT22DQ.DOC,https://www.ship-ubf.org/biblestudy/books/matthew/MT22DQ.DOC,200,28672,filename did not match pattern
mark,mk06dm.pdf,https://www.ship-ubf.org/biblestudy/books/mark/mk06dm.pdf,200,40365,filename did not match pattern
mark,mk06dq.doc,https://www.ship-ubf.org/biblestudy/books/mark/mk06dq.doc,200,28672,filename did not match pattern
mark,mk08dm.pdf,https://www.ship-ubf.org/biblestudy/books/mark/mk08dm.pdf,200,89320,filename did not match pattern
mark,mk08dq.doc,https://www.ship-ubf.org/biblestudy/books/mark/mk08dq.doc,200,28672,filename did not match pattern
mark,mk08em.pdf,https://www.ship-ubf.org/biblestudy/books/mark/mk08em.pdf,200,26367,filename did not match pattern
mark,mk08eq.doc,https://www.ship-ubf.org/biblestudy/books/mark/mk08eq.doc,200,29696,filename did not match pattern
mark,mk10dm.pdf,https://www.ship-ubf.org/biblestudy/books/mark/mk10dm.pdf,200,76549,filename did not match pattern
mark,mk10dq.doc,https://www.ship-ubf.org/biblestudy/books/mark/mk10dq.doc,200,29696,filename did not match pattern
mark,mk12dm.pdf,https://www.ship-ubf.org/biblestudy/books/mark/mk12dm.pdf,200,188260,filename did not match pattern
mark,mk12dq.doc,https://www.ship-ubf.org/biblestudy/books/mark/mk12dq.doc,200,21504,filename did not match pattern
mark,mk12em.pdf,https://www.ship-ubf.org/biblestudy/books/mark/mk12em.pdf,200,188859,filename did not match pattern
mark,mk12eq.doc,https://www.ship-ubf.org/biblestudy/books/mark/mk12eq.doc,200,22016,filename did not match pattern
luke,LK01DQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK01DQ.doc,200,26112,filename did not match pattern
luke,LK05DM.pdf,https://www.ship-ubf.org/biblestudy/books/luke/LK05DM.pdf,200,105964,filename did not match pattern
luke,LK05DQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK05DQ.doc,200,24064,filename did not match pattern
luke,LK05EQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK05EQ.doc,200,24576,filename did not match pattern
luke,LK07DQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK07DQ.doc,200,25088,filename did not match pattern
luke,LK08DQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK08DQ.doc,200,23040,filename did not match pattern
luke,LK08EM.pdf,https://www.ship-ubf.org/biblestudy/books/luke/LK08EM.pdf,200,117942,filename did not match pattern
luke,LK08EQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK08EQ.doc,200,23552,filename did not match pattern
luke,LK09DQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK09DQ.doc,200,24576,filename did not match pattern
luke,LK09EM.pdf,https://www.ship-ubf.org/biblestudy/books/luke/LK09EM.pdf,200,186963,filename did not match pattern
luke,LK09EQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK09EQ.doc,200,25088,filename did not match pattern
luke,LK09FQ.doc,https://www.ship-ubf.org/biblestudy/books/luke/LK09FQ.doc,200,25088,filename did not match pattern
john,JN06DM.pdf,https://www.ship-ubf.org/biblestudy/books/john/JN06DM.pdf,200,152680,filename did not match pattern
acts,paulsmission.pdf,https://www.ship-ubf.org/biblestudy/books/acts/paulsmission.pdf,200,272644,filename did not match pattern
galatians,Gal00Intro.pdf,https://www.ship-ubf.org/biblestudy/books/galatians/Gal00Intro.pdf,200,129024,filename did not match pattern
timothy1,1TIM_intro.pdf,https://www.ship-ubf.org/biblestudy/books/timothy1/1TIM_intro.pdf,200,52848,filename did not match pattern
timothy2,2TIM_intro.pdf,https://www.ship-ubf.org/biblestudy/books/timothy2/2TIM_intro.pdf,200,52590,filename did not match pattern
philemon,PHILEMON01M.doc,https://www.ship-ubf.org/biblestudy/books/philemon/PHILEMON01M.doc,200,47616,filename did not match pattern
philemon,PHILEMON01Q.doc,https://www.ship-ubf.org/biblestudy/books/philemon/PHILEMON01Q.doc,200,27648,filename did not match pattern
hebrews,HEB11DQ.doc,https://www.ship-ubf.org/biblestudy/books/hebrews/HEB11DQ.doc,200,29696,filename did not match pattern
peter12,1PE_intro.pdf,https://www.ship-ubf.org/biblestudy/books/peter12/1PE_intro.pdf,200,199959,filename did not match pattern
peter12,2PE_intro.pdf,https://www.ship-ubf.org/biblestudy/books/peter12/2PE_intro.pdf,200,132400,filename did not match pattern
revelation,REV02AM_Ephesus.pdf,https://www.ship-ubf.org/biblestudy/books/revelation/REV02AM_Ephesus.pdf,200,157559,filename did not match pattern
revelation,REV02BM_Smyrna.pdf,https://www.ship-ubf.org/biblestudy/books/revelation/REV02BM_Smyrna.pdf,200,153837,filename did not match pattern
revelation,REV02CM_Pergamum.pdf,https://www.ship-ubf.org/biblestudy/books/revelation/REV02CM_Pergamum.pdf,200,159334,filename did not match pattern
revelation,REV02DM_Thyatira.pdf,https://www.ship-ubf.org/biblestudy/books/revelation/REV02DM_Thyatira.pdf,200,164016,filename did not match pattern
revelation,REV03AM_Sardis.pdf,https://www.ship-ubf.org/biblestudy/books/revelation/REV03AM_Sardis.pdf,200,170061,filename did not match pattern
revelation,REV03BM_Philadelphia.pdf,https://www.ship-ubf.org/biblestudy/books/revelation/REV03BM_Philadelphia.pdf,200,124366,filename did not match pattern
revelation,REV03CM_Laodicea.pdf,https://www.ship-ubf.org/biblestudy/books/revelation/REV03CM_Laodicea.pdf,200,159913,filename did not match pattern
